DateTime,AddedIPs,RemovedIPs
1601242923,3,5
1601244123,8,13
1601244723,2,0
1601245923,2,55
1601246524,11,0
1601247723,14,39
1601248324,10,0
1601248923,7,13
1601249523,0,7
1601250123,9,16
1601251324,11,8
1601251924,0,5
1601252523,6,0
1601254923,30,19
1601255523,14,16
1601256123,0,4
1601257323,19,11
1601257923,6,2
1601258523,3,0
1601259724,6,6
1601260323,3,0
1601260923,6,13
1601262123,7,15
1601263324,12,4
1601263923,2,5
1601265723,8,11
1601266923,4,11
1601267523,1,4
1601269323,2,10
1601269923,7,0
1601271123,7,7
1601271724,0,7
1601272923,2,0
1601273523,2,14
1601274123,4,12
1601275323,16,10
1601275923,2,1
1601276523,7,0
1601277124,8,1
1601278323,3,0
1601278923,4,3
1601280723,5,1
1601281323,1,1
1601281923,2,1
1601283123,4,4
1601283723,4,0
1601284323,3,1
1601284923,3,0
1601285523,1,11
1601286723,1,5
1601287324,2,2
1601288523,7,3
1601289723,1,1
1601291523,1,1
1601292723,5,0
1601293923,4,1
1601294524,2,0
1601295123,1,0
1601295723,1,0
1601296323,2,0
1601296924,3,2
1601298723,6,4
1601300523,4,2
1601301724,3,3
1601302323,0,1
1601302924,1,0
1601303523,1,13
1601304123,3,0
1601305323,5,13
1601305923,4,3
1601307124,3,2
1601307724,7,1
1601308323,1,3
1601309524,8,6
1601310724,5,2
1601311323,2,0
1601312523,2,0
1601313123,4,3
1601314323,3,0
1601314923,2,0
1601316123,4,11
1601317323,15,17
1601317923,6,0
1601319123,16,3
1601319723,0,6
1601320923,6,5
1601322123,12,7
1601322724,6,0
1601323923,4,11
1601324523,2,6
1601325123,3,0
1601325723,4,0
1601326924,7,1
1601328123,16,16
1601328723,4,0
1601329324,14,1
1601329923,5,11
1601331724,74,2
1601332323,4,6
1601332923,10,20
1601334124,15,7
1601334723,6,4
1601335924,22,1
1601336524,3,18
1601337723,6,0
1601338923,16,9
1601340124,13,24
1601340723,14,0
1601342523,22,7
1601343723,15,28
1601344716,7,0
1601344923,6,4
1601346123,9,16
1601346723,7,0
1601347323,2,10
1601347924,9,10
1601349123,4,14
1601350323,2,1
1601350923,1,8
1601352124,12,6
1601353324,1,0
1601353923,1,0
1601354524,2,0
1601355124,3,0
1601355723,3,11
1601356923,8,3
1601357523,4,0
1601358723,11,0
1601359324,2,0
1601359923,4,0
1601360523,4,7
1601361124,8,15
1601362324,15,4
1601362923,6,0
1601363524,5,9
1601365324,4,6
1601366523,12,5
1601367124,4,0
1601368323,11,2
1601368923,2,0
1601370123,2,4
1601370724,3,0
1601371923,14,7
1601373124,14,2
1601373723,3,0
1601374323,10,0
1601374923,1,11
