DateTime,AddedIPs,RemovedIPs
1601291494,58,78
1601292269,62,75
1601292934,51,37
1601293235,27,19
1601293654,62,56
1601294374,79,36
1601295163,66,66
1601295870,64,42
1601296535,70,67
1601297064,17,23
1601297254,42,46
1601297974,65,39
1601298694,85,47
1601298978,13,12
1601299414,68,63
1601300134,53,75
1601300939,61,89
1601301574,50,76
1601302295,50,74
1601302826,9,14
1601303014,50,80
1601303735,52,62
1601304454,50,37
1601304751,9,19
1601305174,64,33
1601305896,85,45
1601306689,60,53
1601306887,13,6
1601307126,3,0
1601307575,62,67
1601308294,48,103
1601309015,51,90
1601309545,13,17
1601309735,44,82
1601310453,52,69
1601311174,45,62
1601311473,8,0
1601311894,45,48
1601312855,58,81
1601313379,10,0
1601313575,39,63
1601314294,47,65
1601315015,53,51
1601315304,9,0
1601315734,46,48
1601316455,36,41
1601317280,46,31
1601317895,49,54
1601318615,41,40
1601319176,10,0
1601319335,85,60
1601320055,70,39
1601320774,77,53
1601321067,11,0
1601321551,74,61
1601322214,66,43
1601323050,71,35
1601323654,58,39
1601324374,43,52
1601324900,6,0
1601325093,44,46
1601325814,39,50
1601326534,38,35
1601326822,14,0
1601327254,43,40
1601327974,32,45
1601328777,54,43
1601329414,48,53
1601330134,53,42
1601330682,6,0
1601331094,70,57
1601331814,41,46
1601332534,49,40
1601333254,46,42
1601333546,9,0
1601333974,52,37
1601334694,43,37
1601335509,53,43
1601336190,47,42
1601336854,51,45
1601337392,5,0
1601337635,59,30
1601338295,36,30
1601339014,42,42
1601339336,8,0
1601339524,4,0
1601339734,41,45
1601340457,91,52
1601341257,91,50
1601341894,79,57
1601342614,54,35
1601343140,6,0
1601343334,38,54
1601344054,72,30
1601344774,45,40
1601345100,5,0
1601345494,43,29
1601346214,72,41
1601347025,67,50
1601347654,50,46
1601348436,47,45
1601348917,15,0
1601349094,36,32
1601349814,58,50
1601350534,61,62
1601350809,13,11
1601351254,34,48
1601351974,39,54
1601352694,50,46
1601353414,50,42
1601353702,13,0
1601354134,51,40
1601354854,49,52
1601355666,69,55
1601356294,37,47
1601357015,51,46
1601357540,18,0
1601357734,51,56
1601358454,71,87
1601359174,94,65
1601359698,7,0
1601359894,78,68
1601360614,65,54
1601361334,52,60
1601361620,28,0
1601362054,39,71
1601362774,53,62
1601363494,59,43
1601364214,52,53
1601364524,9,0
1601364935,64,58
1601365451,17,11
1601365654,62,57
1601366374,51,47
1601367094,55,68
1601367387,16,0
1601367814,63,72
1601368534,69,71
1601369332,61,63
1601369975,63,68
1601370695,64,49
1601371221,1144,265
1601371414,60,49
1601372374,70,66
1601373160,62,72
1601373814,51,77
1601374774,71,87
