DateTime,AddedIPs,RemovedIPs
1598956562,310,315
1598960403,249,251
1598979842,155,158
1598983682,156,162
1598987525,162,156
1598991602,156,162
1598999282,121,117
1599006962,122,120
1599014642,872,865
1599034082,642,640
1599041763,319,323
1599057123,310,306
1599060962,166,166
1599068643,136,139
1599084010,120,117
1599091682,106,116
1599095522,116,106
1599099362,867,881
1599118562,614,601
1599126245,326,326
1599145442,276,279
1599157202,297,298
1599161042,127,125
1599168722,225,234
1599180242,158,142
1599184082,38,41
1599187922,881,882
1599199443,599,600
1599215042,323,328
1599230402,392,387
1599234243,184,191
1599238082,191,184
1599241922,184,191
1599245763,328,314
1599253443,108,108
1599257522,108,108
1599261362,108,108
1599265442,93,95
1599276962,41,41
1599280803,895,882
1599288483,268,281
1599292322,441,444
1599307682,377,374
1599315363,202,206
1599319202,206,202
1599323042,202,206
1599327122,175,165
1599338642,112,120
1599346322,112,117
1599350162,34,36
1599357842,863,882
1599361682,390,414
1599369363,613,578
1599380882,407,412
1599392402,338,336
1599396242,336,338
1599400082,489,477
1599407762,205,215
1599411610,363,360
1599423123,151,144
1599430802,25,28
1599434642,75,78
1599446642,42,45
1599454562,872,857
1599458404,453,472
1599462242,472,453
1599466082,560,574
1599469923,338,331
1599473763,331,338
1599481443,511,497
1599489362,158,178
1599504722,139,140
1599516242,164,175
1599527765,75,88
1599531602,896,838
1599543123,627,648
1599554882,215,218
1599570242,300,310
1599585602,185,176
1599593283,183,181
1599600964,112,118
1599604803,118,112
1599608642,112,118
1599612482,112,116
1599616322,15,16
1599620162,895,866
1599631922,592,604
1599643442,302,311
1599662648,259,264
1599670323,190,194
1599674166,194,190
1599678009,323,334
1599685682,131,137
1599701042,112,109
1599704883,896,855
1599716403,598,608
1599731762,303,293
1599743522,242,235
1599758882,171,180
1599762722,136,130
1599774243,107,115
1599785762,132,142
1599789629,889,868
1599804962,590,599
1599812643,351,363
1599824403,234,245
1599835922,151,145
1599839762,145,151
1599843603,151,145
1599847682,156,146
1599866883,99,99
1599878402,136,142
1599882242,881,870
1599894002,609,620
1599905523,390,391
1599920882,221,216
1599928562,189,190
1599940083,130,126
1599947762,38,38
1599951602,84,95
1599959282,25,23
1599966963,846,879
1599970802,794,732
1599982322,438,476
1599986402,145,140
1599990242,140,145
1599994322,145,140
1599998163,339,338
1600009683,220,213
1600017363,163,166
1600021203,166,163
1600025042,163,166
1600036562,186,180
1600040403,103,108
1600044243,26,27
1600051922,892,871
1600067523,620,632
1600075202,339,325
1600086722,275,287
1600105923,151,156
1600113602,189,184
1600121283,124,125
1600128962,58,57
1600140482,898,885
1600152003,374,377
1600167363,305,304
1600179123,187,196
1600190642,181,184
1600198322,130,135
1600206003,135,130
1600209842,130,135
1600213682,110,109
1600225442,888,878
1600236963,601,616
1600244642,320,314
1600263843,272,274
1600267682,179,177
1600271522,177,179
1600275363,179,177
1600283043,147,160
1600294563,114,121
1600298402,121,114
1600302242,209,206
1600309923,869,861
1600325522,597,599
1600340882,327,315
1600348803,305,313
1600352642,313,305
1600356483,267,275
1600360322,192,192
1600364162,192,192
1600368003,192,192
1600371842,144,148
1600391282,127,137
1600395122,889,869
1600406642,614,627
1600422002,315,312
1600429682,257,258
1600441210,202,212
1600452963,152,147
1600464484,136,138
1600476003,122,129
1600479842,129,122
1600483682,122,129
1600487523,893,863
1600499042,279,296
1600506723,422,425
1600510563,351,345
1600514402,345,351
1600518242,351,345
1600525922,247,263
1600541522,167,174
1600545365,151,157
1600556883,93,90
1600560723,24,25
1600564563,852,857
1600568402,857,852
1600572247,837,841
1600579922,589,561
1600583762,561,589
1600587603,741,742
1600595282,271,248
1600599122,333,348
1600602963,293,291
1600614482,205,207
1600618323,207,205
1600622163,335,341
1600626242,177,173
1600633923,299,300
1600637762,100,104
1600641602,104,100
1600645447,157,162
1600649522,103,94
1600653613,873,845
1600668962,547,559
1600676642,255,254
1600688162,248,247
1600703763,161,164
1600711443,143,153
1600726803,164,162
1600734723,144,148
1600742403,885,861
1600754164,611,623
1600765684,274,275
1600781042,235,241
1600784882,153,154
1600792563,154,153
1600796402,262,267
1600815603,134,138
1600827122,883,858
1600838642,612,611
1600842482,611,612
1600846323,612,611
1600854003,302,292
1600861683,247,258
1600865522,258,247
1600869363,247,258
1600880882,179,199
1600888563,149,146
1600907762,257,253
1600911602,149,145
1600915443,885,868
1600926962,571,596
1600938484,260,261
1600950242,234,243
1600958162,146,154
1600962003,154,146
1600965843,146,154
1600969925,155,152
1600985283,124,126
1600996802,147,145
1601004482,874,839
1601016003,564,573
1601027522,345,350
1601043123,205,208
1601054643,169,167
1601066161,177,187
1601073843,111,120
1601081522,871,856
1601085362,856,871
1601089202,871,856
1601093042,763,741
1601096882,741,763
1601100725,763,741
1601112242,425,442
1601123762,368,370
1601127602,175,172
1601143442,166,179
1601151123,120,123
1601174162,826,856
1601185922,677,625
1601197442,358,366
1601208962,392,383
1601216642,186,188
1601228162,153,163
1601247363,125,117
1601258882,905,875
1601270402,611,640
1601281922,321,327
1601293443,265,265
1601301121,265,265
1601304963,381,379
1601316722,155,161
1601324402,161,155
1601328242,155,161
1601332083,156,164
1601335922,164,156
1601339763,252,263
1601347682,882,857
1601359213,624,621
1601370724,316,326
